Project.clutch.ID,Breeding.year,Common.species,Latin.species,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Clutch.no.eggs.Hatched,Clutch.no.eggs.Failed,Clutch.no.eggs.Abandoned,Clutch.no.eggs.Predated,Clutch.no.eggs.Damaged,Clutch.no.eggs.Unknown,Phase.1.failed.only,Phase.2.failed.only,Phase.3.failed.only,NA.and.Unknown.embryo.mortality.data.failed.only,Phase.1.failedandabandoned,Phase.2.failedandabandoned,Phase.3.failedandabandoned,NA.and.Unknown.embryo.mortality.data.failedandabandoned,Hatched,Incubation.type
Headstart.Clutch.88,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.89,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.90,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,3,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.91,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.92,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
Headstart.Clutch.93,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,Headstart
Headstart.Clutch.94,2024,Eurasian Curlew,Numenius arquata,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,3,1,0,0,0,0,0,0,1,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.95,2024,Eurasian Curlew,Numenius arquata,Military,England,Suffolk,['Suffolk'],1.0492,52.2539,1,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,Headstart
Headstart.Clutch.96,2024,Eurasian Curlew,Numenius arquata,Military,England,Suffolk,['Suffolk'],1.0492,52.2539,3,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,3,Headstart
Headstart.Clutch.97,2024,Eurasian Curlew,Numenius arquata,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,Headstart
